URI	Book	Period	Link	Type	Dates	0	100	200	300	400	500	600	700	800	900	1000	1100	1200	1300	1400
a35100	<span class="titleWord">تاريخ الإسلام ووفيات المشاهير والأعلام a35100 A</span> لــ شمس الدين أبو عبد الله محمد بن أحمد بن عثمان بن قايماز الذهبي  (748 هـ)	8th cent.	<a class="astUrl" href="http://shamela.ws/browse.php/book-35100" target="blank"><i>al-Maktaba al-Shāmila</i></a>	A	16958	0	8523	1714	1205	1080	1497	1942	942	25	7	5	3	3	5	1
a35100	<span class="titleWord">تاريخ الإسلام ووفيات المشاهير والأعلام a35100 B</span> لــ شمس الدين أبو عبد الله محمد بن أحمد بن عثمان بن قايماز الذهبي  (748 هـ)	8th cent.	<a class="astUrl" href="http://shamela.ws/browse.php/book-35100" target="blank"><i>al-Maktaba al-Shāmila</i></a>	B	16958	0	4302	2581	1785	1615	2236	2891	1461	45	9	6	4	5	9	1
a35100	<span class="titleWord">تاريخ الإسلام ووفيات المشاهير والأعلام a35100 C</span> لــ شمس الدين أبو عبد الله محمد بن أحمد بن عثمان بن قايماز الذهبي  (748 هـ)	8th cent.	<a class="astUrl" href="http://shamela.ws/browse.php/book-35100" target="blank"><i>al-Maktaba al-Shāmila</i></a>	C	16958	0	588	3324	2285	2096	2872	3754	1932	56	13	6	4	8	11	1
j3608	<span class="titleWord">الضوء اللامع لأهل القرن التاسع j3608 A</span> لــ شمس الدين محمد بن عبد الرحمن السخاوي (902 هـ)	10th cent.	<i>al-Jāmiʿ al-Kabīr</i>	A	16661	0	13014	14	1	1	0	3	11	1716	1898	2	1	0	0	0
j3608	<span class="titleWord">الضوء اللامع لأهل القرن التاسع j3608 B</span> لــ شمس الدين محمد بن عبد الرحمن السخاوي (902 هـ)	10th cent.	<i>al-Jāmiʿ al-Kabīr</i>	B	16661	0	10176	26	3	2	0	5	19	2990	3434	4	2	0	0	0
j3608	<span class="titleWord">الضوء اللامع لأهل القرن التاسع j3608 C</span> لــ شمس الدين محمد بن عبد الرحمن السخاوي (902 هـ)	10th cent.	<i>al-Jāmiʿ al-Kabīr</i>	C	16661	0	597	95	9	6	0	11	37	7221	8658	11	16	0	0	0
a6675	<span class="titleWord">الضوء اللامع لأهل القرن التاسع a6675 A</span> لــ شمس الدين أبو الخير محمد بن عبد الرحمن بن محمد بن أبي بكر بن عثمان بن محمد السخاوي  (902 هـ)	10th cent.	<a class="astUrl" href="http://shamela.ws/browse.php/book-6675" target="blank"><i>al-Maktaba al-Shāmila</i></a>	A	16642	0	13005	13	1	1	0	3	12	1695	1909	2	1	0	0	0
a6675	<span class="titleWord">الضوء اللامع لأهل القرن التاسع a6675 B</span> لــ شمس الدين أبو الخير محمد بن عبد الرحمن بن محمد بن أبي بكر بن عثمان بن محمد السخاوي  (902 هـ)	10th cent.	<a class="astUrl" href="http://shamela.ws/browse.php/book-6675" target="blank"><i>al-Maktaba al-Shāmila</i></a>	B	16642	0	10186	24	3	1	0	6	22	2949	3444	5	2	0	0	0
a6675	<span class="titleWord">الضوء اللامع لأهل القرن التاسع a6675 C</span> لــ شمس الدين أبو الخير محمد بن عبد الرحمن بن محمد بن أبي بكر بن عثمان بن محمد السخاوي  (902 هـ)	10th cent.	<a class="astUrl" href="http://shamela.ws/browse.php/book-6675" target="blank"><i>al-Maktaba al-Shāmila</i></a>	C	16642	0	633	48	6	1	0	25	50	7217	8647	12	3	0	0	0
a12397	<span class="titleWord">تاريخ الإسلام ووفيات المشاهير والأعلام a12397 A</span> لــ شمس الدين أبو عبد الله محمد بن أحمد بن عثمان بن قايماز الذهبي  (748 هـ)	8th cent.	<a class="astUrl" href="http://shamela.ws/browse.php/book-12397" target="blank"><i>al-Maktaba al-Shāmila</i></a>	A	15990	0	7481	1694	1616	1038	1325	1875	910	24	6	4	3	3	4	1
a12397	<span class="titleWord">تاريخ الإسلام ووفيات المشاهير والأعلام a12397 B</span> لــ شمس الدين أبو عبد الله محمد بن أحمد بن عثمان بن قايماز الذهبي  (748 هـ)	8th cent.	<a class="astUrl" href="http://shamela.ws/browse.php/book-12397" target="blank"><i>al-Maktaba al-Shāmila</i></a>	B	15990	0	3505	2479	2362	1534	1957	2736	1337	40	10	4	5	6	7	1
a12397	<span class="titleWord">تاريخ الإسلام ووفيات المشاهير والأعلام a12397 C</span> لــ شمس الدين أبو عبد الله محمد بن أحمد بن عثمان بن قايماز الذهبي  (748 هـ)	8th cent.	<a class="astUrl" href="http://shamela.ws/browse.php/book-12397" target="blank"><i>al-Maktaba al-Shāmila</i></a>	C	15990	0	510	3071	2880	1912	2451	3395	1673	49	10	4	8	9	7	1
i3512	<span class="titleWord">تاريخ الإسلام i3512 A</span> لــ الذهبي (748 هـ)	8th cent.	<a class="astUrl" href="http://shiaonlinelibrary.com/الكتب/3563_تاريخ-الإسلام-الذهبي-ج-52" target="blank"><i>al-Maktaba al-Shīʿīya</i></a>	A	15805	0	7463	1653	1608	1001	1286	1833	906	22	6	2	3	3	4	1
i3512	<span class="titleWord">تاريخ الإسلام i3512 B</span> لــ الذهبي (748 هـ)	8th cent.	<a class="astUrl" href="http://shiaonlinelibrary.com/الكتب/3563_تاريخ-الإسلام-الذهبي-ج-52" target="blank"><i>al-Maktaba al-Shīʿīya</i></a>	B	15805	0	3533	2421	2350	1487	1869	2683	1383	34	9	2	5	6	5	1
i3512	<span class="titleWord">تاريخ الإسلام i3512 C</span> لــ الذهبي (748 هـ)	8th cent.	<a class="astUrl" href="http://shiaonlinelibrary.com/الكتب/3563_تاريخ-الإسلام-الذهبي-ج-52" target="blank"><i>al-Maktaba al-Shīʿīya</i></a>	C	15805	0	514	3000	2900	1836	2328	3344	1785	40	9	2	8	10	6	1
j7088	<span class="titleWord">تاريخ الإسلام ووفيات المشاهير والأعلام j7088 A</span> لــ شمس الدين محمد بن أحمد بن عثمان الذهبي (748 هـ)	8th cent.	<i>al-Jāmiʿ al-Kabīr</i>	A	15784	0	7445	1647	1605	1004	1290	1828	909	22	6	2	3	3	4	1
j7088	<span class="titleWord">تاريخ الإسلام ووفيات المشاهير والأعلام j7088 B</span> لــ شمس الدين محمد بن أحمد بن عثمان الذهبي (748 هـ)	8th cent.	<i>al-Jāmiʿ al-Kabīr</i>	B	15784	0	3636	2392	2333	1451	1868	2674	1342	35	8	3	6	6	6	1
j7088	<span class="titleWord">تاريخ الإسلام ووفيات المشاهير والأعلام j7088 C</span> لــ شمس الدين محمد بن أحمد بن عثمان الذهبي (748 هـ)	8th cent.	<i>al-Jāmiʿ al-Kabīr</i>	C	15784	0	579	2966	2915	1815	2352	3328	1722	41	11	4	7	7	8	1
a71	<span class="titleWord">تاريخ دمشق a71 A</span> لــ أبو القاسم علي بن الحسن بن هبة الله المعروف بابن عساكر  (571 هـ)	6th cent.	<a class="astUrl" href="http://shamela.ws/browse.php/book-71" target="blank"><i>al-Maktaba al-Shāmila</i></a>	A	13048	0	5066	2744	1634	1763	1393	420	6	0	0	7	7	3	0	0
a71	<span class="titleWord">تاريخ دمشق a71 B</span> لــ أبو القاسم علي بن الحسن بن هبة الله المعروف بابن عساكر  (571 هـ)	6th cent.	<a class="astUrl" href="http://shamela.ws/browse.php/book-71" target="blank"><i>al-Maktaba al-Shāmila</i></a>	B	13048	0	2543	3598	2155	2340	1813	560	8	1	0	8	11	4	0	0
a71	<span class="titleWord">تاريخ دمشق a71 C</span> لــ أبو القاسم علي بن الحسن بن هبة الله المعروف بابن عساكر  (571 هـ)	6th cent.	<a class="astUrl" href="http://shamela.ws/browse.php/book-71" target="blank"><i>al-Maktaba al-Shāmila</i></a>	C	13048	0	2621	3579	2133	2355	1778	542	8	1	0	7	11	4	0	0
i3157	<span class="titleWord">تاريخ مدينة دمشق i3157 A</span> لــ ابن عساكر (571 هـ)	6th cent.	<a class="astUrl" href="http://shiaonlinelibrary.com/الكتب/3226_تاريخ-مدينة-دمشق-ابن-عساكر-ج-70" target="blank"><i>al-Maktaba al-Shīʿīya</i></a>	A	12348	0	4901	2620	1477	1616	1318	388	6	0	0	6	6	4	0	0
i3157	<span class="titleWord">تاريخ مدينة دمشق i3157 B</span> لــ ابن عساكر (571 هـ)	6th cent.	<a class="astUrl" href="http://shiaonlinelibrary.com/الكتب/3226_تاريخ-مدينة-دمشق-ابن-عساكر-ج-70" target="blank"><i>al-Maktaba al-Shīʿīya</i></a>	B	12348	0	2547	3458	1927	2086	1772	521	8	0	0	6	11	5	0	0
i3157	<span class="titleWord">تاريخ مدينة دمشق i3157 C</span> لــ ابن عساكر (571 هـ)	6th cent.	<a class="astUrl" href="http://shiaonlinelibrary.com/الكتب/3226_تاريخ-مدينة-دمشق-ابن-عساكر-ج-70" target="blank"><i>al-Maktaba al-Shīʿīya</i></a>	C	12348	0	2582	3442	1930	2051	1779	527	7	0	0	6	13	4	0	0
j916	<span class="titleWord">تاريخ مدينة دمشق وذكر فضلها وتسمية من حلها من الأماثل j916 A</span> لــ أبي القاسم علي بن الحسن إبن هبة الله بن عبد الله الشافعي (571 هـ)	6th cent.	<i>al-Jāmiʿ al-Kabīr</i>	A	12330	0	4878	2621	1488	1646	1302	369	5	0	0	6	6	4	0	0
j916	<span class="titleWord">تاريخ مدينة دمشق وذكر فضلها وتسمية من حلها من الأماثل j916 B</span> لــ أبي القاسم علي بن الحسن إبن هبة الله بن عبد الله الشافعي (571 هـ)	6th cent.	<i>al-Jāmiʿ al-Kabīr</i>	B	12330	0	2466	3452	1978	2187	1716	495	6	0	0	7	10	7	0	0
j916	<span class="titleWord">تاريخ مدينة دمشق وذكر فضلها وتسمية من حلها من الأماثل j916 C</span> لــ أبي القاسم علي بن الحسن إبن هبة الله بن عبد الله الشافعي (571 هـ)	6th cent.	<i>al-Jāmiʿ al-Kabīr</i>	C	12330	0	2545	3441	1967	2158	1700	483	7	0	0	6	10	5	0	0
a23764	<span class="titleWord">تاريخ بغداد وذيوله a23764 A</span> لــ أبو بكر أحمد بن علي بن ثابت بن أحمد بن مهدي الخطيب البغدادي  (463 هـ)	5th cent.	<a class="astUrl" href="http://shamela.ws/browse.php/book-23764" target="blank"><i>al-Maktaba al-Shāmila</i></a>	A	11736	0	1373	765	2236	2861	1506	2186	797	6	0	1	5	0	0	0
a23764	<span class="titleWord">تاريخ بغداد وذيوله a23764 B</span> لــ أبو بكر أحمد بن علي بن ثابت بن أحمد بن مهدي الخطيب البغدادي  (463 هـ)	5th cent.	<a class="astUrl" href="http://shamela.ws/browse.php/book-23764" target="blank"><i>al-Maktaba al-Shāmila</i></a>	B	11736	0	183	859	2482	3201	1677	2420	902	6	0	1	5	0	0	0
a23764	<span class="titleWord">تاريخ بغداد وذيوله a23764 C</span> لــ أبو بكر أحمد بن علي بن ثابت بن أحمد بن مهدي الخطيب البغدادي  (463 هـ)	5th cent.	<a class="astUrl" href="http://shamela.ws/browse.php/book-23764" target="blank"><i>al-Maktaba al-Shāmila</i></a>	C	11736	0	69	865	2511	3227	1687	2454	911	6	0	1	5	0	0	0
j3609	<span class="titleWord">الوافي بالوفيات j3609 A</span> لــ صلاح الدين خليل بن أيبك الصفدي (764 هـ)	8th cent.	<i>al-Jāmiʿ al-Kabīr</i>	A	11663	0	1717	863	1085	1188	1251	1914	2308	1311	2	3	6	1	3	1
j3609	<span class="titleWord">الوافي بالوفيات j3609 B</span> لــ صلاح الدين خليل بن أيبك الصفدي (764 هـ)	8th cent.	<i>al-Jāmiʿ al-Kabīr</i>	B	11663	0	281	997	1251	1371	1406	2206	2636	1489	2	3	6	1	3	1
j3609	<span class="titleWord">الوافي بالوفيات j3609 C</span> لــ صلاح الدين خليل بن أيبك الصفدي (764 هـ)	8th cent.	<i>al-Jāmiʿ al-Kabīr</i>	C	11663	0	71	1016	1277	1400	1433	2243	2676	1521	2	3	6	1	3	1
